,names,names_country,split
297,Naizer,Czech,test
298,Novak,Czech,train
299,Nowak,Czech,train
300,Novotny,Czech,train
301,Novy Novy,Czech,test
302,Oborny,Czech,train
303,Ocasek,Czech,train
304,Ocaskova,Czech,test
305,Oesterreicher,Czech,train
306,Okenfuss,Czech,train
307,Olbrich,Czech,train
308,Ondrisek,Czech,test
309,Opizka,Czech,test
310,Opova,Czech,train
311,Opp,Czech,valid
312,Osladil,Czech,valid
313,Ozimuk,Czech,train
314,Pachr,Czech,train
315,Palzewicz,Czech,train
316,Panek,Czech,train
317,Patril,Czech,test
318,Pavlik,Czech,valid
319,Pavlicka,Czech,train
320,Pavlu,Czech,valid
321,Pawlak,Czech,train
322,Pear,Czech,train
323,Peary,Czech,test
324,Pech,Czech,train
325,Peisar,Czech,train
326,Paisar,Czech,train
327,Paiser,Czech,train
328,Perevuznik,Czech,train
329,Perina,Czech,train
330,Persein,Czech,test
331,Petrezelka,Czech,train
332,Petru,Czech,train
333,Pesek,Czech,valid
334,Petersen,Czech,train
335,Pfeifer,Czech,valid
336,Picha,Czech,train
337,Pillar,Czech,valid
338,Pellar,Czech,train
339,Piller,Czech,train
340,Pinter,Czech,train
341,Pitterman,Czech,train
342,Planick,Czech,valid
343,Piskach,Czech,train
344,Plisek,Czech,train
345,Plisko,Czech,train
346,Pokorny,Czech,test
347,Ponec,Czech,train
348,Ponec,Czech,train
349,Prachar,Czech,train
350,Praseta,Czech,train
351,Prchal,Czech,train
352,Prehatney,Czech,train
353,Pretsch,Czech,test
354,Prill,Czech,train
355,Psik,Czech,train
356,Pudel,Czech,train
357,Purdes,Czech,valid
358,Quasninsky,Czech,valid
359,Raffel,Czech,train
360,Rafaj,Czech,train
361,Ransom,Czech,train
362,Rezac,Czech,valid
363,Riedel,Czech,train
364,Riha,Czech,train
365,Riha,Czech,train
366,Ritchie,Czech,train
367,Rozinek,Czech,train
368,Ruba,Czech,train
369,Ruda,Czech,train
370,Rumisek,Czech,train
371,Ruzicka,Czech,train
372,Rypka,Czech,train
373,Rebka,Czech,valid
374,Rzehak,Czech,train
375,Sabol,Czech,valid
376,Safko,Czech,train
377,Samz,Czech,train
378,Sankovsky,Czech,train
379,Sappe,Czech,valid
380,Sappe,Czech,test
381,Sarna,Czech,train
382,Satorie,Czech,valid
383,Savchak,Czech,valid
384,Svotak,Czech,test
385,Swatchak,Czech,train
386,Svocak,Czech,valid
387,Svotchak,Czech,train
388,Schallom,Czech,train
389,Schenk,Czech,train
390,Schlantz,Czech,train
391,Schmeiser,Czech,train
392,Schneider,Czech,train
393,Schmied,Czech,train
394,Schubert,Czech,valid
395,Schwarz,Czech,test
396,Schwartz,Czech,valid
397,Sedmik,Czech,train
398,Sedmikova,Czech,train
399,Seger,Czech,train
400,Sekovora,Czech,train
401,Semick,Czech,test
402,Serak,Czech,valid
403,Sherak,Czech,train
404,Shima,Czech,train
405,Shula,Czech,valid
406,Siegl,Czech,train
407,Silhan,Czech,train
408,Simecek,Czech,train
409,Simodines,Czech,train
410,Simonek,Czech,test
411,Sip,Czech,train
412,Sitta,Czech,train
413,Skala,Czech,train
414,Skeril,Czech,test
415,Skokan,Czech,train
416,Skomicka,Czech,train
417,Skwor,Czech,train
418,Slapnickova,Czech,train
419,Slejtr,Czech,train
420,Slepicka,Czech,train
421,Slepica,Czech,train
422,Slezak,Czech,valid
423,Slivka,Czech,train
424,Smith,Czech,train
425,Snelker,Czech,train
426,Sokolik,Czech,valid
427,Soucek,Czech,valid
428,Soukup,Czech,train
429,Soukup,Czech,train
430,Spicka,Czech,train
431,Spoerl,Czech,valid
432,Sponer,Czech,train
433,Srda,Czech,train
434,Srpcikova,Czech,train
435,Stangl,Czech,train
436,Stanzel,Czech,train
437,Stary,Czech,valid
438,Staska,Czech,train
439,Stedronsky,Czech,train
440,Stegon,Czech,train
441,Sztegon,Czech,train
442,Steinborn,Czech,test
443,Stepan,Czech,train
444,Stites,Czech,test
445,Stluka,Czech,train
446,Stotzky,Czech,train
447,StrakaO,Czech,train
448,Stramba,Czech,test
449,Stupka,Czech,train
450,Subertova,Czech,train
451,Suchanka,Czech,train
452,Sula,Czech,train
453,Svejda,Czech,train
454,Svejkovsky,Czech,train
455,Svoboda,Czech,train
456,Tejc,Czech,train
457,Tikal,Czech,train
458,Tykal,Czech,valid
459,Till,Czech,test
460,Timpe,Czech,train
461,Timpy,Czech,train
462,Toman,Czech,valid
463,Tomanek,Czech,train
464,Tomasek,Czech,train
465,Tomes,Czech,valid
466,Trampotova,Czech,valid
467,Trampota,Czech,test
468,Treblik,Czech,valid
469,Trnkova,Czech,train
470,Uerling,Czech,train
471,Uhlik,Czech,train
472,Urbanek,Czech,train
473,Urbanek,Czech,train
474,Urbanovska,Czech,valid
475,Urista,Czech,test
476,Ustohal,Czech,train
477,Vaca,Czech,train
478,Vaculova,Czech,train
479,Vavra,Czech,test
480,Vejvoda,Czech,train
481,Veverka,Czech,train
482,Victor,Czech,train
483,Vlach,Czech,valid
484,Vlach,Czech,train
485,Vlasak,Czech,valid
486,Vlasek,Czech,valid
487,Volcik,Czech,train
488,Voneve,Czech,test
489,Votke,Czech,train
490,Vozab,Czech,train
491,Vrazel,Czech,valid
492,Vykruta,Czech,train
493,Wykruta,Czech,train
494,Waclauska,Czech,test
495,Weichert,Czech,valid
496,Weineltk,Czech,test
497,Weisener,Czech,train
498,Wiesner,Czech,test
499,Wizner,Czech,valid
500,Weiss,Czech,test
501,Werlla,Czech,test
502,Whitmire,Czech,valid
503,Widerlechner,Czech,train
504,Wilchek,Czech,train
505,Wondracek,Czech,train
506,Wood,Czech,test
507,Zajicek,Czech,valid
508,Zak,Czech,train
509,Zajicek,Czech,train
510,Zaruba,Czech,train
511,Zaruba,Czech,test
512,Zelinka,Czech,valid
513,Zeman,Czech,train
514,Zimola,Czech,train
515,Zipperer,Czech,train
516,Zitka,Czech,train
517,Zoucha,Czech,test
518,Zwolenksy,Czech,train
519,Abbing,German,train
520,Abel,German,train
521,Abeln,German,test
522,Abt,German,train
523,Achilles,German,test
524,Achterberg,German,train
525,Acker,German,train
526,Ackermann,German,valid
527,Adam,German,valid
528,Adenauer,German,train
529,Adler,German,train
530,Adlersflugel,German,train
531,Aeschelman,German,train
532,Albert,German,train
533,Albrecht,German,train
534,Aleshire,German,train
535,Aleshite,German,train
536,Althaus,German,train
537,Amsel,German,train
538,Andres,German,train
539,Armbruster,German,train
540,Armbruster,German,train
541,Artz,German,train
542,Aue,German,train
543,Auer,German,train
544,Augustin,German,train
545,Aust,German,valid
546,Autenburg,German,train
547,Auttenberg,German,train
548,Baasch,German,train
549,Bach,German,train
550,Bachmeier,German,train
551,Backer,German,train
552,Bader,German,train
553,Bahr,German,test
554,Bambach,German,train
555,Bauer,German,train
556,Bauers,German,train
557,Baum,German,train
558,Baumann,German,train
559,Baumbach,German,train
560,Baumgartner,German,test
561,Baumgartner,German,train
562,Baumhauer,German,train
563,Bayer,German,train
564,Beck,German,train
565,Becke,German,valid
566,Beckenbauer,German,train
567,Becker,German,train
568,Beckert,German,train
569,Behrend,German,test
570,Behrends,German,train
571,Beitel,German,test
572,Beltz,German,train
573,Benn,German,train
574,Berg,German,train
575,Berger,German,train
576,Bergfalk,German,train
577,Beringer,German,train
578,Bernat,German,train
579,Best,German,valid
580,Beutel,German,train
581,Beyer,German,train
582,Beyersdorf,German,train
583,Bieber,German,valid
584,Biermann,German,valid
585,Bischoffs,German,valid
586,Blau,German,train
587,Blecher,German,train
588,Bleier,German,train
589,Blumenthal,German,train
590,Blumstein,German,train
591,Bocker,German,train
592,Boehler,German,test
593,Boer,German,valid
594,Boesch,German,train
595,Bohler,German,valid
596,Bohm,German,train
597,Bohme,German,train
598,Bohmer,German,train
599,Bohn,German,test
600,Borchard,German,train
601,Bosch,German,train
602,Bosch,German,train
603,Bottcher,German,test
604,Brahms,German,test
605,Brand,German,valid
606,Brandt,German,train
607,Brant,German,train
608,Brauer,German,train
609,Braun,German,train
610,Braune,German,train
611,Breiner,German,train
612,Breisacher,German,train
613,Breitbarth,German,train
614,Bretz,German,train
615,Brinkerhoff,German,test
616,Brodbeck,German,valid
617,Brose,German,train
618,Brotz,German,train
619,Bruhn,German,train
620,Brun,German,train
621,Brune,German,train
622,Buchholz,German,train
623,Buckholtz,German,train
624,Buhr,German,train
625,Bumgarner,German,valid
626,Burgstaller,German,test
627,Busch,German,test
628,Carver,German,valid
629,Chevrolet,German,train
630,Cline,German,train
631,Dahl,German,train
632,Denzel,German,train
633,Derrick,German,valid
634,Diefenbach,German,train
635,Dieter,German,test
636,Dietrich,German,train
637,Dirchs,German,train
638,Dittmar,German,train
639,Dohman,German,test
640,Drechsler,German,train
641,Dreher,German,train
642,Dreschner,German,train
643,Dresdner,German,test
644,Dressler,German,valid
645,Duerr,German,train
646,Dunkle,German,test
647,Dunst,German,train
648,Durr,German,train
649,Eberhardt,German,test
650,Ebner,German,valid
651,Ebner,German,train
652,Eckstein,German,train
653,Egger,German,train
654,Eichel,German,train
655,Eilerts,German,train
656,Engel,German,train
657,Enns,German,train
658,Esser,German,test
659,Essert,German,valid
660,Everhart,German,train
661,Fabel,German,test
662,Faerber,German,test
663,Falk,German,valid
664,Falkenrath,German,test
665,Farber,German,valid
666,Fashingbauer,German,train
667,Faust,German,test
668,Feigenbaum,German,train
669,Feld,German,train
670,Feldt,German,test
671,Fenstermacher,German,valid
672,Fertig,German,train
673,Fiedler,German,test
674,Fischer,German,valid
675,Flater,German,train
676,Fleischer,German,valid
677,Foerstner,German,train
678,Forst,German,train
679,Forstner,German,valid
680,Foth,German,train
681,Frank,German,train
682,Franke,German,train
683,Frei,German,train
684,Freud,German,test
685,Freudenberger,German,valid
686,Freund,German,test
687,Fried,German,test
688,Friedrich,German,train
689,Fromm,German,train
690,Frost,German,train
691,Fuchs,German,valid
692,Fuhrmann,German,train
693,Furst,German,train
694,Fux,German,valid
695,Gabler,German,test
696,Gaertner,German,train
697,Garb,German,test
698,Garber,German,valid
699,Gartner,German,train
700,Garver,German,test
701,Gass,German,train
702,Gehrig,German,test
703,Gehring,German,test
704,Geier,German,train
705,Geiger,German,train
706,Geisler,German,train
707,Geissler,German,train
708,Geiszler,German,train
709,Gensch,German,train
710,Gerber,German,train
711,Gerhard,German,train
712,Gerhardt,German,train
713,Gerig,German,train
714,Gerst,German,train
715,Gerstle,German,valid
716,Gerver,German,valid
717,Giehl,German,train
718,Giese,German,train
719,Glockner,German,train
720,Goebel,German,train
721,Goldschmidt,German,train
722,Gorman,German,test
723,Gott,German,test
724,Gotti,German,train
725,Gottlieb,German,train
726,Gottschalk,German,test
727,Graner,German,train
728,Greenberg,German,train
729,Groos,German,train
730,Gros,German,train
731,Gross,German,train
732,Gro,German,train
733,Groe,German,train
734,Grosse,German,train
735,Groel,German,train
736,Groel,German,test
737,Groer,German,train
738,Grosser,German,train
739,Grosz,German,train
740,Grunewald,German,train
741,Gunther,German,train
742,Gunther,German,train
743,Gutermuth,German,test
744,Gwerder,German,valid
745,Haas,German,train
746,Haase,German,train
747,Haber,German,train
748,Habich,German,valid
749,Habicht,German,test
750,Hafner,German,train
751,Hahn,German,test
752,Hall,German,train
753,Halle,German,train
754,Harman,German,train
755,Hartmann,German,train
756,Hase,German,train
757,Hasek,German,train
758,Hasenkamp,German,valid
759,Hass,German,train
760,Hauer,German,train
761,Haupt,German,test
762,Hausler,German,train
763,Havener,German,train
764,Heidrich,German,train
765,Heinrich,German,valid
766,Heinrichs,German,train
767,Heintze,German,valid
768,Hellewege,German,train
769,Heppenheimer,German,valid
770,Herbert,German,test
771,Hermann,German,train
772,Herrmann,German,test
773,Herschel,German,train
774,Hertz,German,train
775,Hildebrand,German,train
776,Hinrichs,German,train
777,Hintzen,German,test
778,Hirsch,German,train
779,Hoch,German,train
780,Hochberg,German,train
781,Hoefler,German,train
782,Hofer,German,valid
783,Hoffman,German,train
784,Hoffmann,German,train
785,Hofler,German,train
786,Hofmann,German,train
787,Hofmeister,German,train
788,Holst,German,train
789,Holtzer,German,valid
790,Holzer,German,train
791,Holzer,German,train
792,Holzknecht,German,train
793,Holzmann,German,test
794,Hoover,German,train
795,Horn,German,test
796,Horn,German,valid
797,Horowitz,German,train
798,Houk,German,train
799,Huber,German,test
800,Huber,German,test
801,Huff,German,train
802,Huffman,German,train
803,Huffmann,German,valid
804,Hummel,German,train
805,Hummel,German,train
806,Hutmacher,German,train
807,Ingersleben,German,train
808,Jaeger,German,train
809,Jager,German,train
810,Jager,German,train
811,Jans,German,train
812,Janson,German,valid
813,Janz,German,train
814,Jollenbeck,German,train
815,Jordan,German,train
816,Jund,German,train
817,Jung,German,valid
818,Junge,German,train
819,Kahler,German,train
820,Kaiser,German,train
821,Kalb,German,valid
822,Kalbfleisch,German,train
823,Kappel,German,train
824,Karl,German,train
825,Kaspar,German,test
826,Kassmeyer,German,test
827,Kastner,German,train
828,Katz,German,train
829,Kaube,German,valid
830,Kaufer,German,train
831,Kaufer,German,train
832,Kauffmann,German,train
833,Kaufman,German,train
834,Keil,German,valid
835,Keller,German,train
836,Kempf,German,train
837,Kerner,German,valid
838,Kerper,German,train
839,Kerwar,German,test
840,Kerwer,German,train
841,Kiefer,German,train
842,Kiefer,German,train
843,Kirchner,German,test
844,Kistler,German,test
845,Kistner,German,train
846,Kleid,German,test
847,Klein,German,train
848,Klossner,German,train
849,Knef,German,valid
850,Kneib,German,train
851,Kneller,German,train
852,Knepp,German,train
853,Knochenmus,German,train
854,Knopf,German,train
855,Knopp,German,valid
856,Koch,German,test
857,Kock,German,valid
858,Koenig,German,train
859,Koenigsmann,German,valid
860,Kohl,German,valid
861,Kohl,German,train
862,Kohler,German,train
863,Kohler,German,valid
864,Kolbe,German,train
865,Konig,German,valid
866,Konigsmann,German,test
867,Kopp,German,train
868,Kraemer,German,test
869,Kramer,German,train
870,Kramer,German,train
871,Krantz,German,test
872,Kranz,German,train
873,Kraus,German,valid
874,Krause,German,train
875,Krauss,German,valid
876,Krau,German,train
877,Krebs,German,train
878,Kroger,German,train
879,Kron,German,train
880,Kruckel,German,train
881,Kruger,German,train
882,Kruger,German,train
883,Kruger,German,train
884,Kruse,German,train
885,Kruse,German,train
886,Kuchler,German,valid
887,Kuhn,German,train
888,Kundert,German,train
889,Kunkel,German,train
890,Kunkle,German,train
891,Kuntz,German,train
892,Kunze,German,train
893,Kurzmann,German,train
894,Laberenz,German,train
895,Lafrentz,German,valid
896,Lafrenz,German,train
897,Landau,German,test
898,Lang,German,train
899,Lange,German,train
900,Langenberg,German,train
901,Langer,German,test
902,Larenz,German,train
903,Laurenz,German,train
904,Lauritz,German,valid
905,Lawerenz,German,train
906,Lawrenz,German,train
907,Lehmann,German,valid
908,Lehrer,German,valid
909,Leitner,German,train
910,Leitz,German,train
911,Leitzke,German,train
912,Lenz,German,valid
913,Leverenz,German,train
914,Lewerentz,German,train
915,Lewerenz,German,test
916,Lichtenberg,German,valid
917,Lieberenz,German,train
918,Linden,German,train
919,Loewe,German,test
920,Lohrenz,German,train
921,Lorentz,German,train
922,Lorenz,German,train
923,Lorenzen,German,train
924,Loris,German,train
925,Loritz,German,train
926,Lowe,German,test
927,Ludwig,German,train
928,Luther,German,valid
929,Maas,German,train
930,Maier,German,train
931,Mandel,German,train
932,Mann,German,train
933,Markwardt,German,train
934,Marquardt,German,train
935,Marquering,German,train
936,Marquerink,German,train
937,Martell,German,train
938,Martin,German,test
939,Martz,German,valid
940,Mas,German,train
941,Maurer,German,train
942,Maus,German,train
943,Mayer,German,valid
944,Meier,German,test
945,Mein,German,train
946,Meindl,German,test
947,Meinhardt,German,train
948,Meisner,German,train
949,Meissner,German,test
950,Melsbach,German,train
951,Mendel,German,train
952,Mendelsohn,German,test
953,Mendelssohn,German,train
954,Messer,German,train
955,Messerli,German,train
956,Messmann,German,train
957,Messner,German,train
958,Metz,German,valid
959,Metz,German,train
960,Metzger,German,train
961,Meyer,German,train
962,Michel,German,train
963,Mohren,German,train
964,Moller,German,train
965,Morgenstern,German,train
966,Moser,German,train
967,Mueller,German,valid
968,Muhlfeld,German,train
969,Muller,German,train
970,Nagel,German,train
971,Neuman,German,test
972,Neumann,German,train
973,Nuremberg,German,train
974,Nussbaum,German,valid
975,Nussenbaum,German,train
976,Oberst,German,train
977,Oelberg,German,valid
978,Ohme,German,train
979,Oliver,German,valid
980,Oppenheimer,German,train
981,Ott,German,valid
982,Otto,German,train
983,Oursler,German,test
984,Pahlke,German,test
985,Papke,German,test
986,Papp,German,train
987,Paternoster,German,test
988,Paul,German,train
989,Paulis,German,train
990,Pawlitzki,German,train
991,Penzig,German,train
992,Peter,German,test
993,Peters,German,train
994,Pfaff,German,valid
995,Pfenning,German,test
996,Plank,German,test
997,Pletcher,German,train
998,Porsche,German,train
999,Portner,German,train
1000,Prinz,German,train
1001,Protz,German,train
1002,Rademacher,German,valid
1003,Rademaker,German,train
1004,Rapp,German,valid
1005,Raske,German,train
1006,Raskob,German,train
1007,Raskop,German,train
1008,Raskoph,German,train
1009,Regenbogen,German,train
1010,Reier,German,train
1011,Reiher,German,train
1012,Reiter,German,train
1013,Rettig,German,train
1014,Reuter,German,train
1015,Reuter,German,train
1016,Richard,German,train
1017,Richter,German,valid
1018,Rier,German,train
1019,Riese,German,train
1020,Ritter,German,train
1021,Rose,German,train
1022,Rosenberg,German,train
1023,Rosenberger,German,train
1024,Rosenfeld,German,train
1025,Rot,German,test
1026,Roth,German,valid
1027,Rothbauer,German,train
1028,Rothenberg,German,train
1029,Rothschild,German,test
1030,Sachs,German,test
1031,Saller,German,train
1032,Saller,German,train
1033,Salomon,German,train
1034,Salzwedel,German,train
1035,Samuel,German,train
1036,Sander,German,train
1037,Sauber,German,train
1038,Schafer,German,train
1039,Scheer,German,train
1040,Scheinberg,German,train
1041,Schenck,German,train
1042,Schermer,German,train
1043,Schindler,German,train
1044,Schirmer,German,train
1045,Schlender,German,train
1046,Schlimme,German,train
1047,Schlusser,German,train
1048,Schmeling,German,train
1049,Schmid,German,train
1050,Schmidt,German,train
1051,Schmitt,German,valid
1052,Schmitz,German,train
1053,Schneider,German,train
1054,Schnoor,German,valid
1055,Schnur,German,valid
1056,Schoettmer,German,train
1057,Schrader,German,train
1058,Schrader,German,train
1059,Schreck,German,train
1060,Schreier,German,train
1061,Schroder,German,valid
1062,Schroder,German,train
1063,Schroeder,German,train
1064,Schroeter,German,train
1065,Schroter,German,valid
1066,Schubert,German,test
1067,Schuchard,German,train
1068,Schuchardt,German,valid
1069,Schuchert,German,test
1070,Schuhart,German,valid
1071,Schuhmacher,German,test
1072,Schuler,German,test
1073,Schult,German,train
1074,Schulte,German,train
1075,Schultes,German,valid
1076,Schultheis,German,train
1077,Schultheiss,German,valid
1078,Schulthei,German,valid
1079,Schultz,German,test
1080,Schultze,German,valid
1081,Schulz,German,train
1082,Schulze,German,train
1083,Schumacher,German,train
1084,Schuster,German,train
1085,Schuttmann,German,train
1086,Schwangau,German,train
1087,Schwartz,German,train
1088,Schwarz,German,train
1089,Schwarzenegger,German,valid
1090,Schwenke,German,train
1091,Schwinghammer,German,train
1092,Seelenfreund,German,train
1093,Seidel,German,valid
1094,Senft,German,test
1095,Senft,German,train
1096,Sheinfeld,German,test
1097,Shriver,German,valid
1098,Siegel,German,train
1099,Siegel,German,train
1100,Siekert,German,train
1101,Siemon,German,train
1102,Silverstein,German,train
1103,Simen,German,test
1104,Simmon,German,train
1105,Simon,German,test
1106,Simons,German,train
1107,Siskin,German,train
1108,Siskind,German,train
1109,Sitz,German,test
1110,Sitz,German,train
1111,Slusser,German,train
1112,Solberg,German,train
1113,Sommer,German,test
1114,Sommer,German,train
1115,Sommer,German,train
1116,Sommer,German,train
